#Energy           TDOS-UP         TDOS-DOWN
0.163292        0.085230        0.085230
0.194292        0.096530        0.096530
0.225292        0.118200        0.118200
0.256292        0.134900        0.134900
0.287292        0.146600        0.146600
0.318292        0.166900        0.166900
0.349292        0.184800        0.184800
0.380292        0.197100        0.197100
0.411292        0.219200        0.219200
0.442292        0.236100        0.236100
0.473292        0.250400        0.250400
0.504292        0.272700        0.272700
0.535292        0.289000        0.289000
0.566292        0.306600        0.306600
0.597292        0.329200        0.329200
0.628292        0.345000        0.345000
0.659292        0.367900        0.367900
0.690292        0.388000        0.388000
0.721292        0.403000        0.403000
0.752292        0.431900        0.431900
0.783292        0.450600        0.450600
0.814292        0.476700        0.476700
0.845292        0.497500        0.497500
0.876292        0.524100        0.524100
0.907292        0.547000        0.547000
0.938292        0.572600        0.572600
0.969292        0.600900        0.600900
1.000292        0.626900        0.626900
1.031292        0.658700        0.658700
1.062292        0.689700        0.689700
1.093292        0.720300        0.720300
1.124292        0.759400        0.759400
1.155292        0.785000        0.785000
1.186292        0.830900        0.830900
1.217292        0.867400        0.867400
1.248292        0.913400        0.913400
1.279292        0.964600        0.964600
1.310292        1.018000        1.018000
1.341292        1.074000        1.074000
1.372292        1.136000        1.136000
1.403292        1.195000        1.195000
1.434292        1.277000        1.277000
1.465292        1.392000        1.392000
1.496292        1.480000        1.480000
1.527292        1.661000        1.661000
1.558292        1.804000        1.804000
1.589292        1.926000        1.926000
1.620292        2.439000        2.439000
1.651292        2.876000        2.876000
1.682292        6.331000        6.332000
1.713292        3.219000        3.219000
1.744292        2.786000        2.786000
1.775292        2.490000        2.490000
1.806292        2.293000        2.293000
1.837292        2.196000        2.196000
1.868292        2.176000        2.176000
1.899292        2.024000        2.024000
1.930292        2.002000        2.002000
1.961292        1.885000        1.885000
1.992292        1.751000        1.751000
2.023292        1.735000        1.735000
2.054292        1.695000        1.695000
2.085292        1.630000        1.630000
2.116292        1.657000        1.657000
2.147292        1.789000        1.789000
2.178292        1.696000        1.696000
2.209292        1.480000        1.480000
2.240292        1.448000        1.448000
2.271292        1.400000        1.400000
2.302292        1.615000        1.615000
2.333292        1.405000        1.405000
2.364292        1.365000        1.365000
2.395292        1.692000        1.692000
2.426292        1.397000        1.397000
2.457292        1.415000        1.415000
2.488292        0.951600        0.951600
2.519292        1.222000        1.222000
2.550292        1.337000        1.337000
2.581292        1.588000        1.588000
2.612292        1.357000        1.357000
2.643292        1.325000        1.325000
2.674292        1.281000        1.281000
2.705292        1.272000        1.272000
2.736292        1.244000        1.244000
2.767292        1.232000        1.232000
2.798292        1.268000        1.268000
2.829292        1.243000        1.243000
2.860292        1.260000        1.260000
2.891292        1.198000        1.198000
2.922292        1.191000        1.191000
